"scientific_name","datetime","place_guess","latitude","longitude","tag_list","common_name","url","image_url","species_guess","iconic_taxon_name","taxon_id","num_identification_agreements","num_identification_disagreements","observed_on","time_zone","txNmsrch"
"Ablennes hians","2014-12-02 10:24:00 +0200","Hurghada, Red Sea Governorate, Egypt","27.2290088666","33.8422724167",NA,"Flat Needlefish","https://www.inaturalist.org/observations/244474151","https://static.inaturalist.org/photos/436046668/medium.jpg","Flat Needlefish","Actinopterygii","135196","1","0","2014-12-02","Cairo","Ablennes hians"
"Abudefduf hoefleri","2022-11-12 14:14:35 -0100","Cape Verde","16.8351452271","-24.7211869061","","African Sergeant","https://www.inaturalist.org/observations/146205026","https://inaturalist-open-data.s3.amazonaws.com/photos/251312666/medium.jpeg","Abudefduf hoefleri","Actinopterygii","122102","2","0","2022-11-12","Cape Verde Is.","Abudefduf hoefleri"
"Abudefduf hoefleri","2022-09-20 17:44:00 -0100","Sal, Kaapverdi<U+00EB>","16.6005277988","-22.9276607931","","African Sergeant","https://www.inaturalist.org/observations/137649573","https://inaturalist-open-data.s3.amazonaws.com/photos/235126597/medium.jpeg","Abudefduf hoefleri","Actinopterygii","122102","1","0","2022-09-20","Cape Verde Is.","Abudefduf hoefleri"
"Abudefduf hoefleri","2022-09-20 17:35:00 -0100","Sal, Kaapverdi<U+00EB>","16.6005277988","-22.9276607931","","African Sergeant","https://www.inaturalist.org/observations/137649561","https://inaturalist-open-data.s3.amazonaws.com/photos/235126089/medium.jpeg","Abudefduf hoefleri","Actinopterygii","122102","1","0","2022-09-20","Cape Verde Is.","Abudefduf hoefleri"
"Abudefduf hoefleri","2022-09-21 13:30:00 -0100","Sal, Kaapverdi<U+00EB>","16.6005277988","-22.9276607931","","African Sergeant","https://www.inaturalist.org/observations/137624879","https://inaturalist-open-data.s3.amazonaws.com/photos/235077368/medium.jpeg","Abudefduf hoefleri","Actinopterygii","122102","1","0","2022-09-21","Cape Verde Is.","Abudefduf hoefleri"
"Abudefduf hoefleri","2022-09-21 12:43:00 -0100","Sal, Kaapverdi<U+00EB>","16.6005277988","-22.9276607931","","African Sergeant","https://www.inaturalist.org/observations/137623367","https://inaturalist-open-data.s3.amazonaws.com/photos/235073818/medium.jpeg","Abudefduf hoefleri","Actinopterygii","122102","1","0","2022-09-21","Cape Verde Is.","Abudefduf hoefleri"
"Abudefduf hoefleri","2022-09-15 13:05:43 -0100","Sal, Kaapverdi<U+00EB> duiken","16.586659913","-22.9261949658","","African Sergeant","https://www.inaturalist.org/observations/135173556","https://inaturalist-open-data.s3.amazonaws.com/photos/230513091/medium.jpeg","African Sergeant","Actinopterygii","122102","2","0","2022-09-15","Cape Verde Is.","Abudefduf hoefleri"
"Abudefduf hoefleri","2022-08-16 16:36:00 +0100","Santa Cruz de Tenerife, ES-CN, ES","28.141435503","-16.4368792804","","African Sergeant","https://www.inaturalist.org/observations/131440259","https://inaturalist-open-data.s3.amazonaws.com/photos/223677169/medium.jpg","Sargento africano","Actinopterygii","122102","1","0","2022-08-16","Atlantic/Canary","Abudefduf hoefleri"
"Abudefduf hoefleri","2015-10-25 23:11:00 -0100","Tarrafal, Cap-Vert","15.2796916005","-23.7548398422","","African Sergeant","https://www.inaturalist.org/observations/118212815","https://inaturalist-open-data.s3.amazonaws.com/photos/199699734/medium.jpg","Abudefduf hoefleri","Actinopterygii","122102","1","0","2015-10-25","Cape Verde Is.","Abudefduf hoefleri"
"Abudefduf hoefleri","2012-03-29 19:18:00 -0100","Sal, Cap-Vert","16.5878849341","-22.8937232887","","African Sergeant","https://www.inaturalist.org/observations/118212812","https://inaturalist-open-data.s3.amazonaws.com/photos/199699705/medium.jpg","Abudefduf hoefleri","Actinopterygii","122102","1","0","2012-03-29","Cape Verde Is.","Abudefduf hoefleri"
